# Planck 2018 CMB Power Spectrum - TE
# Reference: https://irsa.ipac.caltech.edu/data/Planck/release_3/
# Format: ell, D_ell, uncertainty
#
# This is a simulated dataset based on Planck 2018 release characteristics
# Used for HPM validation testing
#
# ell    D_ell[muK^2]    sigma
2	500.0	150.0
3	580.0	160.0
4	650.0	165.0
5	720.0	170.0
6	780.0	172.0
7	830.0	175.0
8	880.0	178.0
9	920.0	180.0
10	960.0	182.0
15	1100.0	185.0
20	1200.0	188.0
25	1280.0	190.0
30	1340.0	192.0
40	1420.0	195.0
50	1480.0	198.0
60	1520.0	200.0
70	1560.0	202.0
80	1590.0	204.0
90	1610.0	206.0
100	1630.0	208.0
150	1700.0	212.0
200	1750.0	215.0
250	1780.0	218.0
300	1800.0	220.0
400	1830.0	224.0
500	1850.0	227.0
600	1860.0	230.0
700	1870.0	232.0
800	1880.0	234.0
900	1890.0	236.0
1000	1900.0	238.0
1200	1920.0	242.0
1400	1935.0	245.0
1600	1945.0	248.0
1800	1955.0	250.0
2000	1960.0	252.0
2200	1965.0	254.0
2400	1970.0	256.0
2600	1972.0	258.0
2800	1974.0	260.0
3000	1975.0	262.0
