# WMAP 9-Year CMB Power Spectrum - TE
# Reference: https://lambda.gsfc.nasa.gov/product/wmap/
# Format: ell, D_ell, uncertainty
#
# This is a simulated dataset based on WMAP 9-year release characteristics
# Used for HPM validation testing
#
# ell    D_ell[muK^2]    sigma
2	400.0	220.0
3	480.0	200.0
4	550.0	185.0
5	610.0	175.0
6	660.0	168.0
7	710.0	162.0
8	750.0	158.0
9	790.0	154.0
10	830.0	150.0
11	860.0	148.0
12	890.0	145.0
13	920.0	143.0
14	940.0	141.0
15	960.0	140.0
16	980.0	138.0
17	995.0	137.0
18	1010.0	135.0
19	1025.0	134.0
20	1040.0	133.0
25	1120.0	128.0
30	1180.0	124.0
35	1230.0	121.0
40	1270.0	118.0
50	1320.0	114.0
60	1360.0	111.0
70	1390.0	109.0
80	1415.0	107.0
90	1435.0	105.0
100	1450.0	104.0
150	1520.0	98.0
200	1560.0	94.0
250	1585.0	91.0
300	1600.0	89.0
400	1625.0	86.0
500	1640.0	84.0
600	1650.0	83.0
700	1658.0	82.0
800	1665.0	81.0
900	1670.0	80.5
1000	1675.0	80.0
