# WMAP 9-Year CMB Power Spectrum - EE
# Reference: https://lambda.gsfc.nasa.gov/product/wmap/
# Format: ell, D_ell, uncertainty
#
# This is a simulated dataset based on WMAP 9-year release characteristics
# Used for HPM validation testing
#
# ell    D_ell[muK^2]    sigma
2	80.0	45.0
3	95.0	48.0
4	110.0	50.0
5	125.0	52.0
6	140.0	54.0
7	155.0	55.0
8	170.0	57.0
9	185.0	58.0
10	200.0	60.0
11	215.0	62.0
12	230.0	64.0
13	245.0	66.0
14	260.0	68.0
15	275.0	70.0
16	290.0	72.0
17	305.0	74.0
18	320.0	76.0
19	335.0	78.0
20	350.0	80.0
25	420.0	90.0
30	480.0	100.0
35	530.0	110.0
40	580.0	120.0
50	660.0	135.0
60	720.0	148.0
70	770.0	160.0
80	810.0	170.0
90	840.0	178.0
100	860.0	185.0
150	950.0	210.0
200	1000.0	228.0
250	1040.0	240.0
300	1070.0	250.0
400	1110.0	262.0
500	1130.0	270.0
600	1145.0	276.0
700	1155.0	280.0
800	1160.0	284.0
900	1165.0	287.0
1000	1168.0	290.0
